Rank,Player,Team,Position,Points,Games,Avg,Teams,Age,Height,College,Years in NFL
289,Keelan Cole Sr.,NYJ,WR,50.9,14,3.6,"JAC, NYJ",28, 6-1,Kentucky Wesleyan,5
290,Nico Collins,HOU,WR,50.6,14,3.6,HOU,22, 6-4,Michigan,0
291,Jack Doyle,IND,TE,50.2,15,3.4,IND,31, 6-6,Western Kentucky,10
292,Julio Jones,TEN,WR,49.4,10,4.9,"ATL, TEN",33, 6-3,Alabama,11
293,Laquon Treadwell,JAC,WR,49.4,12,4.1,"MIN, ATL, JAC",26, 6-2,Mississippi,4
294,David Johnson,HOU,RB,49.3,13,3.8,"ARI, HOU",30, 6-1,Northern Iowa,7
295,Allen Robinson II,CHI,WR,49,12,4.1,"JAC, CHI",28, 6-2,Penn State,8
296,Cameron Brate,TB,TE,48.5,16,3,TB,30, 6-5,Harvard,7
297,Josh Johnson,BAL,QB,48.4,4,12.1,"TB, CLE, CIN, SF, BUF, NYG, HOU, WAS, DET, BAL",35, 6-2,San Diego,7
298,Derrick Gore,KC,RB,48.1,8,6,"WAS, LAC, KC",27, 5-10,Louisiana-Monroe,1
299,Jerry Jeudy,DEN,WR,47,10,4.7,DEN,22, 6-1,Alabama,2
300,Mack Hollins,MIA,WR,46.3,16,2.9,"PHI, MIA",28, 6-4,North Carolina,5
301,Jaret Patterson,WAS,RB,45.9,14,3.3,WAS,22, 5-9,Buffalo,0
302,Travis Homer,SEA,RB,45.8,14,3.3,SEA,23, 5-10,Miami,3
303,Jeremy McNichols,TEN,RB,45.6,13,3.5,"SF, TEN, JAC",26, 5-9,Boise State,2
304,Jalen Reagor,PHI,WR,45.1,17,2.7,PHI,23, 5-11,TCU,2
305,Rodrigo Blankenship,IND,K,45,5,9,IND,25, 6-1,Georgia,2
306,Danny Amendola,HOU,WR,44.8,8,5.6,"LAR, NE, MIA, DET, HOU",36, 5-11,Texas Tech,13
307,Damien Williams,CHI,RB,44.7,12,3.7,"MIA, KC, CHI",29, 5-11,Oklahoma,7
308,Jeff Wilson Jr.,SF,RB,44.5,9,4.9,SF,26, 6-0,North Texas,4
309,Demarcus Robinson,KC,WR,44.4,15,3,KC,27, 6-1,Florida,6
310,Devin Duvernay,BAL,WR,44.2,16,2.8,BAL,24, 5-11,Texas,2
311,Kyle Juszczyk,SF,RB,43.8,15,2.9,"BAL, SF",30, 6-1,Harvard,9
312,Sammy Watkins,BAL,WR,43.4,11,4,"BUF, LAR, KC, BAL",28, 6-1,Clemson,8
312,Kadarius Toney,NYG,WR,43.4,9,4.8,NYG,23, 6-0,Florida,0
314,Albert Okwuegbunam,DEN,TE,43,14,3.1,DEN,23, 6-5,Missouri,2
315,Chris Conley,HOU,WR,42.6,14,3,"KC, JAC, HOU",29, 6-3,Georgia,7
315,Darius Slayton,NYG,WR,42.6,13,3.3,NYG,25, 6-1,Auburn,3
317,Colt McCoy,ARI,QB,42.3,8,5.3,"CLE, SF, WAS, NYG, ARI",35, 6-1,Texas,12
318,Chris Carson,SEA,RB,42.1,4,10.5,SEA,27, 5-11,Oklahoma State,5
319,Austin Seibert,DET,K,42,6,7,"CLE, CIN, DET",25, 5-9,Oklahoma,3
319,Brian Johnson,WAS,K,42,8,5.3,WAS,22, 6-4,LSU,1
321,James Washington,PIT,WR,41.8,15,2.8,PIT,25, 5-11,Oklahoma State,4
322,Sterling Shepard,NYG,WR,41.7,7,6,NYG,29, 5-10,Oklahoma,6
323,Phillip Lindsay,MIA,RB,41.4,14,3,"DEN, MIA",27, 5-8,Colorado,4
324,Harrison Bryant,CLE,TE,41.3,15,2.8,CLE,23, 6-5,Florida Atlantic,2
325,Mike Glennon,NYG,QB,40.9,6,6.8,"TB, CHI, ARI, LV, JAC, NYG",32, 6-7,N.C. State,9
326,Dan Arnold,JAC,TE,40.8,11,3.7,"NO, ARI, JAC",27, 6-6,Wisconsin-Platteville,5
327,Tevin Coleman,NYJ,RB,40.5,11,3.7,"ATL, SF, NYJ",28, 6-1,Indiana,7
328,Calvin Ridley,ATL,WR,40.1,5,8,ATL,27, 6-1,Alabama,4
329,Peyton Barber,LV,RB,39.9,10,4,"TB, WAS, LV",28, 5-11,Auburn,6
330,Juwan Johnson,NO,TE,39.9,13,3.1,NO,25, 6-4,Oregon,2
331,Jonnu Smith,NE,TE,39.4,16,2.5,"TEN, NE",26, 6-3,Florida International,5
332,Ricky Seals-Jones,WAS,TE,39.1,11,3.6,"ARI, CLE, KC, WAS",27, 6-5,Texas A&M,5
332,Anthony Firkser,TEN,TE,39.1,15,2.6,TEN,27, 6-2,Harvard,4
332,DeeJay Dallas,SEA,RB,39.1,17,2.3,SEA,23, 5-10,Miami,2
335,Geoff Swaim,TEN,TE,39,16,2.4,"DAL, JAC, TEN",28, 6-4,Texas,7
336,Donald Parham Jr.,LAC,TE,39,14,2.8,"WAS, LAC",24, 6-8,Stetson,2
337,Damiere Byrd,CHI,WR,38.9,11,3.5,"CAR, ARI, NE, CHI",29, 5-9,South Carolina,6
338,Antoine Wesley,ARI,WR,38.8,8,4.9,"BAL, ARI",24, 6-4,Texas Tech,2
339,Adam Humphries,WAS,WR,38.3,17,2.3,"TB, TEN, WAS",28, 5-11,Clemson,7
340,Hayden Hurst,ATL,TE,38.1,12,3.2,"BAL, ATL",28, 6-4,South Carolina,4
340,Ryan Griffin,NYJ,TE,38.1,14,2.7,"NO, TB",32, 6-5,Tulane,8
342,Eddy Pineiro,NYJ,K,38,5,7.6,"LV, CHI, NYJ",26, 6-0,Florida,4
343,Marquise Goodwin,CHI,WR,37.2,14,2.7,"BUF, SF, PHI, CHI",31, 5-9,Texas,8
344,Dare Ogunbowale,JAC,RB,37.1,13,2.9,"WAS, TB, JAC",27, 5-10,Wisconsin,3
345,Lil'Jordan Humphrey,NO,WR,36.9,8,4.6,NO,23, 6-4,Texas,2
346,Jimmy Graham,CHI,TE,36.7,11,3.3,"NO, SEA, GB, CHI",35, 6-7,Miami,12
347,Josiah Deguara,GB,TE,36.5,14,2.6,GB,25, 6-2,Cincinnati,2
348,Adam Trautman,NO,TE,36.3,11,3.3,NO,25, 6-5,Dayton,2
349,Giovani Bernard,TB,RB,36.1,10,3.6,"CIN, TB",30, 5-9,North Carolina,9
350,Durham Smythe,MIA,TE,36,16,2.3,MIA,26, 6-6,Notre Dame,4
350,Tyler Johnson,TB,WR,36,16,2.3,TB,23, 6-1,Minnesota,2
352,Brevin Jordan,HOU,TE,35.8,8,4.5,HOU,21, 6-3,Miami,0
353,Matt Breida,BUF,RB,35.7,7,5.1,"SF, MIA, BUF",27, 5-10,Georgia Southern,5
354,Logan Thomas,WAS,TE,35.6,5,7.1,"ARI, MIA, BUF, DET, WAS",30, 6-6,Virginia Tech,7
355,Chester Rogers,TEN,WR,35,16,2.2,"IND, TEN",28, 6-0,Grambling State,5
356,Chris Evans,CIN,RB,34.8,9,3.9,CIN,24, 5-11,Michigan,0
357,Chris Moore,HOU,WR,34.7,10,3.5,"BAL, HOU",28, 6-1,Cincinnati,6
358,Cyril Grayson Jr.,TB,WR,34.6,3,11.5,"CHI, TB",28, 5-9,LSU,2
358,Gardner Minshew II,PHI,QB,34.6,3,11.5,"JAC, PHI",25, 6-1,Washington State,3
360,MyCole Pruitt,TEN,TE,34.5,13,2.7,"MIN, CHI, HOU, TEN",29, 6-2,Southern Illinois,6
361,Quintez Cephus,DET,WR,34.4,5,6.9,DET,23, 6-1,Wisconsin,2
362,Cam Sims,WAS,WR,33.8,12,2.8,WAS,26, 6-5,Alabama,4
363,Carlos Hyde,JAC,RB,33.8,12,2.8,"SF, JAC, HOU, SEA",31, 6-0,Ohio State,8
364,Kyle Rudolph,NYG,TE,33.7,15,2.3,"MIN, NYG",32, 6-6,Notre Dame,12
365,Rashard Higgins,CLE,WR,33.5,12,2.8,CLE,27, 6-1,Colorado State,6
366,Tommy Tremble,CAR,TE,33.1,15,2.2,CAR,21, 6-4,Notre Dame,0
366,Le'Veon Bell,TB,RB,33.1,8,4.1,"PIT, NYJ, KC, TB",30, 6-1,Michigan State,8
368,Malik Turner,DAL,WR,32.9,7,4.7,"SEA, DAL",26, 6-2,Illinois,4
368,Ty'Son Williams,BAL,RB,32.9,8,4.1,BAL,25, 6-0,BYU,1
370,Ke'Shawn Vaughn,TB,RB,32.6,6,5.4,TB,24, 5-10,Vanderbilt,2
371,Isaiah McKenzie,BUF,WR,32.5,15,2.2,"DEN, BUF",26, 5-8,Georgia,5
371,Ashton Dulin,IND,WR,32.5,16,2,IND,24, 6-2,Malone,3
371,Demetric Felton,CLE,RB,32.5,15,2.2,CLE,23, 5-9,UCLA,0
374,Robert Tonyan,GB,TE,32.4,8,4.1,GB,27, 6-5,Indiana State,4
375,Brandon Zylstra,CAR,WR,31,12,2.6,"MIN, CAR",28, 6-2,Concordia College,4
376,John Bates,WAS,TE,30.9,13,2.4,WAS,24, 6-6,Boise State,0
377,Tim Boyle,DET,QB,30.4,4,7.6,"GB, DET",27, 6-4,Eastern Kentucky,4
378,John Ross,NYG,WR,30,9,3.3,"CIN, NYG",26, 5-11,Washington,5
379,Case Keenum,CLE,QB,29.6,5,5.9,"HOU, LAR, MIN, DEN, WAS, CLE",34, 6-1,Houston,9
380,Will Dissly,SEA,TE,29.1,13,2.2,SEA,25, 6-4,Washington,4
381,Tristan Vizcaino,LAC,K,29,6,4.8,"BUF, LAC",25, 6-2,Washington,1
382,Jakeem Grant Sr.,CHI,WR,28.5,15,1.9,"MIA, CHI",29, 5-7,Texas Tech,6
383,Craig Reynolds,DET,RB,28.2,5,5.6,"ATL, JAC, DET",25, 5-11,Kutztown,1
384,Isaiah Ford,MIA,WR,28.1,9,3.1,MIA,26, 6-2,Virginia Tech,4
385,Greg Ward,PHI,WR,27.6,10,2.8,PHI,26, 5-11,Houston,3
386,Tavon Austin,JAC,WR,27.4,12,2.3,"LAR, DAL, GB, JAC",32, 5-8,West Virginia,9
387,D.J. Chark Jr.,JAC,WR,27.4,3,9.1,JAC,25, 6-4,LSU,4
388,Ray-Ray McCloud,PIT,WR,27.2,16,1.7,"BUF, PIT",25, 5-9,Clemson,4
389,Elijhaa Penny,NYG,RB,26.9,13,2.1,"ARI, NYG",28, 6-1,Idaho,5
390,Salvon Ahmed,MIA,RB,26.6,11,2.4,MIA,23, 5-11,Washington,2
391,JaMycal Hasty,SF,RB,26.5,11,2.4,SF,25, 5-8,Baylor,2
392,James O'Shaughnessy,JAC,TE,26.4,7,3.8,"KC, JAC",30, 6-4,Illinois State,7
393,Trey Sermon,SF,RB,25.3,6,4.2,SF,23, 6-0,Ohio State,0
394,Maxx Williams,ARI,TE,25.3,5,5.1,"BAL, ARI",27, 6-4,Minnesota,7
395,Cooper Rush,DAL,QB,25.1,4,6.3,DAL,28, 6-3,Central Michigan,4
396,Royce Freeman,HOU,RB,24.6,12,2.1,"DEN, HOU",26, 6-0,Oregon,4
397,Jordan Love,GB,QB,24.2,6,4,GB,23, 6-4,Utah State,2
398,Joe Flacco,NYJ,QB,23.8,2,11.9,"BAL, DEN, NYJ",37, 6-6,Delaware,14
399,Brock Wright,DET,TE,23.7,8,3,DET,23, 6-5,Notre Dame,0
400,Ihmir Smith-Marsette,MIN,WR,23.6,6,3.9,MIN,22, 6-1,Iowa,0
401,Kendall Hinton,DEN,WR,23.5,11,2.1,DEN,25, 6-0,Wake Forest,1
402,Anthony Schwartz,CLE,WR,23.4,13,1.8,CLE,21, 6-0,Auburn,0
403,Tyler Kroft,NYJ,TE,23.3,9,2.6,"CIN, BUF, NYJ",29, 6-6,Rutgers,7
404,Albert Wilson,MIA,WR,23,10,2.3,"KC, MIA",29, 5-9,Georgia State,7
404,Tajae Sharpe,ATL,WR,23,14,1.6,"TEN, KC, ATL",27, 6-4,UMass Amherst,6
406,Jerick McKinnon,KC,RB,22.9,9,2.5,"MIN, SF, KC",29, 5-9,Georgia Southern,8
407,Corey Clement,DAL,RB,22.9,11,2.1,"PHI, DAL",27, 5-10,Wisconsin,5
408,Adrian Peterson,SEA,RB,22.6,4,5.7,"MIN, ARI, WAS, DET, SEA",36, 6-1,Oklahoma,14
409,Stephen Anderson,LAC,TE,22.5,14,1.6,"HOU, NE, LAC",29, 6-3,California,4
410,Breshad Perriman,TB,WR,22.4,5,4.5,"BAL, CLE, TB, NYJ",28, 6-2,UCF,7
411,Parris Campbell,IND,WR,22.2,6,3.7,IND,24, 6-1,Ohio State,3
412,Aldrick Rosas,DET,K,22,5,4.4,"NYG, JAC, DET",27, 6-3,Southern Oregon,5
412,Eno Benjamin,ARI,RB,22,8,2.8,ARI,22, 5-9,Arizona State,2
414,Jermar Jefferson,DET,RB,21.7,5,4.3,DET,21, 5-10,Oregon State,0
415,Blake Jarwin,DAL,TE,21.6,8,2.7,DAL,27, 6-5,Oklahoma State,5
416,Marcedes Lewis,GB,TE,21.4,13,1.7,"JAC, GB",37, 6-6,UCLA,16
417,Eric Ebron,PIT,TE,20.5,8,2.6,"DET, IND, PIT",28, 6-4,North Carolina,8
418,James Proche II,BAL,WR,20.2,7,2.9,BAL,25, 5-11,SMU,2
419,Lirim Hajrullahu,CAR,K,20,4,5,CAR,31, 5-11,Western Ontario,1
420,JuJu Smith-Schuster,PIT,WR,19.8,5,4,PIT,25, 6-1,USC,5
421,Malcolm Brown,MIA,RB,19.5,6,3.3,"LAR, MIA",28, 5-11,Texas,6
421,O.J. Howard,TB,TE,19.5,11,1.8,TB,27, 6-6,Alabama,5
423,Mason Rudolph,PIT,QB,19.4,2,9.7,PIT,26, 6-5,Oklahoma State,4
424,Nick Vannett,NO,TE,19.3,7,2.8,"SEA, PIT, DEN, NO",29, 6-6,Ohio State,6
425,James White,NE,RB,19.2,3,6.4,NE,30, 5-10,Wisconsin,8
426,Kene Nwangwu,MIN,RB,19,9,2.1,MIN,24, 6-1,Iowa State,0
427,Ian Thomas,CAR,TE,18.8,14,1.3,CAR,25, 6-4,Indiana,4
428,Noah Brown,DAL,WR,18.4,10,1.8,DAL,26, 6-2,Ohio State,5
429,D'Wayne Eskridge,SEA,WR,18.3,8,2.3,SEA,24, 5-9,Western Michigan,0
430,Ryan Santoso,LAR,K,18,4,4.5,"TEN, NYG, LAR",26, 6-5,Minnesota,1
431,Mohamed Sanu Sr.,SF,WR,17.7,8,2.2,"CIN, ATL, NE, DET, SF",32, 6-2,Rutgers,10
431,Jordan Akins,HOU,TE,17.7,12,1.5,HOU,29, 6-4,UCF,4
431,KhaDarel Hodge,DET,WR,17.7,12,1.5,"LAR, CLE, DET",27, 6-2,Prairie View A&M,4
434,Tony Jones Jr.,NO,RB,17.1,10,1.7,NO,24, 5-11,Notre Dame,1
435,Austin Walter,NYJ,RB,17,4,4.3,"NYG, SF, NYJ",25, 5-8,Rice,2
435,Elliott Fry,CIN,K,17,3,5.7,"ATL, CIN",27, 6-0,South Carolina,1
437,Nick Foles,CHI,QB,16.8,1,16.8,"PHI, LAR, KC, JAC, CHI",33, 6-6,Arizona,10
437,P.J. Walker,CAR,QB,16.8,5,3.4,"IND, CAR",27, 5-11,Temple,2
439,Jonathan Williams,WAS,RB,16.7,5,3.3,"BUF, NO, IND, WAS",28, 6-0,Arkansas,6
439,Jody Fortson,KC,WR,16.7,4,4.2,KC,26, 6-6,Valdosta State,1
439,Zach Gentry,PIT,TE,16.7,10,1.7,PIT,25, 6-8,Michigan,3
442,N'Keal Harry,NE,WR,16.4,10,1.6,NE,24, 6-4,Arizona State,3
443,Kristian Wilkerson,NE,WR,16.2,1,16.2,NE,25, 6-1,Southeast Missouri State,1
444,Dyami Brown,WAS,WR,16.1,10,1.6,WAS,22, 6-0,North Carolina,0
445,C.J. Ham,MIN,RB,15.9,15,1.1,MIN,28, 5-11,Augustana (SD),5
446,Marcus Johnson,TEN,WR,15.8,7,2.3,"PHI, IND, TEN",27, 6-1,Texas,5
447,Terrace Marshall Jr.,CAR,WR,15.8,12,1.3,CAR,21, 6-2,LSU,0
448,Qadree Ollison,ATL,RB,15.7,6,2.6,ATL,25, 6-1,Pittsburgh,3
449,Dante Pettis,NYG,WR,15.3,3,5.1,"SF, NYG",26, 6-1,Washington,4
450,Patrick Taylor Jr.,GB,RB,15.2,5,3,GB,23, 6-2,Memphis,1
451,Pharaoh Brown,HOU,TE,15.1,13,1.2,"LV, CLE, HOU",27, 6-6,Oregon,4
452,Marcus Mariota,LV,QB,14.9,7,2.1,"TEN, LV",28, 6-4,Oregon,7
453,Trent Sherfield,SF,WR,14.7,12,1.2,"ARI, SF",26, 6-1,Vanderbilt,4
454,Alec Ingold,LV,RB,14.6,7,2.1,LV,25, 6-1,Wisconsin,3
455,Larry Rountree III,LAC,RB,14.6,10,1.5,LAC,23, 5-10,Missouri,0
456,J.J. Taylor,NE,RB,14.5,5,2.9,NE,24, 5-6,Arizona,2
457,Jesper Horsted,CHI,TE,14.1,4,3.5,CHI,25, 6-4,Princeton,2
458,Scotty Miller,TB,WR,14.1,6,2.4,TB,24, 5-9,Bowling Green,3
459,Godwin Igwebuike,DET,RB,14,9,1.6,"SF, DET",27, 6-0,Northwestern,1
460,Ty Montgomery,NO,RB,13.9,14,1,"GB, BAL, NYJ, NO",29, 6-0,Stanford,7
460,Jake Fromm,NYG,QB,13.9,3,4.6,"BUF, NYG",23, 6-2,Georgia,2
462,Brandon Allen,CIN,QB,13.8,5,2.8,"JAC, LAR, DEN, CIN",29, 6-2,Arkansas,5
463,Ben Skowronek,LAR,WR,13.3,12,1.1,LAR,24, 6-3,Notre Dame,0
464,Denzel Mims,NYJ,WR,13.3,10,1.3,NYJ,24, 6-3,Baylor,2
465,Chris Manhertz,JAC,TE,13.1,10,1.3,"CAR, JAC",29, 6-6,Canisius College,6
466,Sean Mannion,MIN,QB,13,1,13,"LAR, MIN",29, 6-6,Oregon State,7
466,Dominik Eberle,HOU,K,13,1,13,"LV, CAR",25, 6-1,Utah State,1
468,Kenny Stills,NO,WR,12.9,7,1.8,"NO, MIA, HOU, BUF",29, 6-1,Oklahoma,9
469,Patrick Ricard,BAL,RB,12.7,8,1.6,BAL,27, 6-3,Maine,5
470,Lee Smith,ATL,TE,12.5,10,1.3,"BUF, LV, ATL",34, 6-6,Marshall,11
470,Wayne Gallman Jr.,MIN,RB,12.5,9,1.4,"NYG, MIN",27, 6-0,Clemson,5
472,Tom Kennedy,DET,WR,12.4,7,1.8,DET,25, 5-10,Bryant,1
473,Brian Hoyer,NE,QB,12.3,5,2.5,"NE, ARI, CLE, HOU, CHI, IND",36, 6-2,Michigan State,13
474,Jesse James,CHI,TE,12.2,5,2.4,"PIT, DET, CHI",27, 6-7,Penn State,7
475,Joshua Kelley,LAC,RB,12,8,1.5,LAC,24, 5-11,UCLA,2
476,Michael Burton,KC,RB,11.7,10,1.2,"DET, CHI, WAS, NO, KC",30, 6-0,Rutgers,7
477,Jacob Hollister,JAC,TE,11.5,7,1.6,"NE, SEA, JAC",28, 6-4,Wyoming,5
478,Jalen Richard,LV,RB,11.2,9,1.2,LV,28, 5-8,Southern Mississippi,6
478,Equanimeous St. Brown,GB,WR,11.2,12,0.9,GB,25, 6-5,Notre Dame,4
478,Jeff Smith,NYJ,WR,11.2,9,1.2,NYJ,24, 6-1,Boston College,2
481,Ross Dwelley,SF,TE,11.1,4,2.8,SF,27, 6-5,San Diego,4
482,Benny Snell Jr.,PIT,RB,11.1,16,0.7,PIT,24, 5-10,Kentucky,3
483,Phillip Dorsett II,HOU,WR,11,5,2.2,"IND, NE, SEA, HOU",29, 5-10,Miami,7
483,Adam Shaheen,MIA,TE,11,9,1.2,"CHI, MIA",27, 6-7,Ashland,5
483,Chris Blewitt,WAS,K,11,2,5.5,CLE,26, 5-9,Pittsburgh,0
486,Marlon Mack,IND,RB,10.9,6,1.8,IND,26, 6-0,University of South Florida,5
486,Dez Fitzpatrick,TEN,WR,10.9,3,3.6,TEN,24, 6-2,Louisville,0
488,Eric Saubert,DEN,TE,10.7,10,1.1,"ATL, CHI, JAC, DEN",27, 6-5,Drake,4
489,Antony Auclair,HOU,TE,10.7,4,2.7,"TB, HOU",28, 6-6,Laval,5
490,Kylen Granson,IND,TE,10.6,10,1.1,IND,23, 6-3,SMU,0
491,Collin Johnson,NYG,WR,10.5,8,1.3,"JAC, NYG",24, 6-6,Texas,2
492,Tommy Sweeney,BUF,TE,10.4,7,1.5,BUF,26, 6-5,Boston College,3
493,Trinity Benson,DET,WR,10.3,7,1.5,"DEN, DET",25, 6-0,East Central,1
494,Shi Smith,CAR,WR,10.1,5,2,CAR,23, 5-10,South Carolina,0
494,Chris Hogan,NO,WR,10.1,5,2,"BUF, NE, CAR, NYJ, NO",33, 6-1,Monmouth,9
496,Chris Herndon IV,MIN,TE,10,6,1.7,"NYJ, MIN",26, 6-4,Miami,4
497,Nick Mullens,CLE,QB,9.9,1,9.9,"SF, CLE",26, 6-1,Southern Mississippi,4
497,Auden Tate,CIN,WR,9.9,4,2.5,CIN,25, 6-5,Florida State,4
499,Blake Bell,KC,TE,9.7,12,0.8,"SF, MIN, JAC, KC, DAL",30, 6-6,Oklahoma,7
500,Ryquell Armstead,JAC,RB,9.6,2,4.8,JAC,25, 5-11,Temple,3
500,Noah Gray,KC,TE,9.6,7,1.4,KC,22, 6-4,Duke,0
502,Josh Gordon,KC,WR,9.2,9,1,"CLE, NE, SEA, KC",30, 6-3,Utah,5
503,Mitchell Trubisky,BUF,QB,9.1,5,1.8,"CHI, BUF",27, 6-2,North Carolina,5
504,Deon Jackson,IND,RB,9.1,5,1.8,IND,23, 6-0,Duke,0
505,Cameron Batson,TEN,WR,9,4,2.3,TEN,26, 5-8,Texas Tech,4
506,Andy Janovich,CLE,RB,8.9,6,1.5,"DEN, CLE",28, 6-1,Nebraska,6
506,JaQuan Hardy,DAL,RB,8.9,2,4.5,DAL,24, 5-10,Tiffin,0
508,Keith Smith,ATL,RB,8.7,13,0.7,"DAL, LV, ATL",29, 6-0,San Jose State,8
508,Sean McKeon,DAL,TE,8.7,5,1.7,DAL,24, 6-5,Michigan,2
510,Anthony Miller,PIT,WR,8.5,3,2.8,"CHI, PIT",27, 5-11,Memphis,4
511,Alex Armah Jr.,WAS,RB,8.2,10,0.8,"CAR, WAS",27, 6-2,West Georgia,5
511,Tyree Jackson,PHI,TE,8.2,3,2.7,PHI,24, 6-7,Buffalo,0
513,Drew Sample,CIN,TE,8.1,10,0.8,CIN,25, 6-5,Washington,3
513,Dezmon Patmon,IND,WR,8.1,4,2,IND,23, 6-4,Washington State,2
515,Kyle Allen,WAS,QB,7.9,2,4,"CAR, WAS",26, 6-3,Houston,3
516,Preston Williams,MIA,WR,7.8,6,1.3,MIA,24, 6-5,Colorado State,3
517,Garrett Gilbert,WAS,QB,7.8,1,7.8,"CAR, CLE, DAL, WAS",30, 6-4,SMU,4
518,Chris Myarick,NYG,TE,7.7,5,1.5,"MIA, CIN",26, 6-5,Temple,1
519,Andre Roberts,LAC,WR,7.4,16,0.5,"ARI, WAS, DET, ATL, NYJ, BUF, LAC",34, 5-11,The Citadel,12
520,KJ Hamler,DEN,WR,7.4,3,2.5,DEN,22, 5-9,Penn State,2
521,Johnny Stanton,CLE,RB,7.2,3,2.4,"MIN, CLE",27, 6-2,UNLV,2
522,Dede Westbrook,MIN,WR,6.8,15,0.5,"JAC, MIN",28, 6-0,Oklahoma,5
523,Jonathan Ward,ARI,RB,6.7,9,0.7,ARI,24, 6-0,Central Michigan,2
524,Josh Oliver,BAL,TE,6.6,11,0.6,"JAC, BAL",24, 6-5,San Jose State,3
525,Ito Smith,DAL,RB,6.4,1,6.4,"ATL, DAL",26, 5-9,Southern Mississippi,4
525,Dax Milne,WAS,WR,6.4,9,0.7,WAS,22, 6-1,BYU,0
527,Ja'Marcus Bradley,CLE,WR,6.4,4,1.6,CLE,25, 6-0,Louisiana-Lafayette,1
528,Brandon Powell,LAR,WR,6,6,1,"DET, ATL, LAR",26, 5-8,Florida,4
529,Penny Hart,SEA,WR,5.9,12,0.5,SEA,25, 5-8,Georgia State,2
530,C.J. Board,NYG,WR,5.7,6,1,"JAC, NYG",28, 6-1,Tennessee-Chattanooga,3
530,Mike Boone,DEN,RB,5.7,3,1.9,"MIN, DEN",26, 5-10,Cincinnati,4
532,Jason Moore Jr.,LAC,WR,5.6,1,5.6,LAC,26, 6-3,Findlay,3
532,Luke Farrell,JAC,TE,5.6,9,0.6,JAC,24, 6-5,Ohio State,0
532,Amari Rodgers,GB,WR,5.6,16,0.4,GB,22, 5-9,Clemson,0
535,Alex Erickson,CAR,WR,5.5,17,0.3,"CIN, CAR",29, 6-0,Wisconsin,6
535,Trayveon Williams,CIN,RB,5.5,4,1.4,CIN,24, 5-8,Texas A&M,3
537,Jaelon Darden,TB,WR,5.4,9,0.6,TB,23, 5-8,North Texas,0
538,Mike Thomas,CIN,WR,5.2,7,0.7,"WAS, LAC",27, 5-11,UNLV,6
539,Charlie Woerner,SF,TE,5.2,8,0.7,SF,24, 6-5,Georgia,2
540,Jason Huntley,PHI,RB,5.1,1,5.1,PHI,23, 5-9,New Mexico State,2
